,phrase,target
1179, marketing and controlling functions for these units ,neutral
1180, followed by the state with 19.9 % ,neutral
1181, including voice-directed operations ,neutral
1182, Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/200,neutral
1183,Negotiations with representatives of the personnel regarding the restructuring process have now been ended ,neutral
1184, the Finnish construction firm said on Friday ,neutral
1185,The passenger tunnel is expected to be put into operation in 2009 ,neutral
1186, real property and mortgage loans ,neutral
1187,The report will be emailed within 2 business days of an order ,neutral
1188,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations ,neutral
1189,Total value of the contract is about EUR 10mn ,neutral
1190,A few employees would remain at the Oulu plant in support functions for other group units ,neutral
1191,The fine print is here ,neutral
1192, process and receive materials related to absentee voting ,neutral
1193,The increase range will vary up to 10 % ,neutral
1194, for example ,neutral
1195,Why not subscribe to the magazine ,neutral
1196,He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State ,neutral
1197, players can have as much fun as they would if they were actually fishing ,neutral
1198, with an EBITDA of EUR 51 million ,neutral
1199, Stora Enso said ,neutral
1200, Inc. ,neutral
1201, Finland ,neutral
1202,The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations ,neutral
1203, tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement ,neutral
1204, Alma Media owned 40 % of Kotikokki net ,neutral
1205, the brokers ' ratings on the stock differ ,neutral
1206, of which EUR 13.5 mn was booked in December 2008 ,neutral
1207, the company has to look for growth abroad ,neutral
1208,The company is listed on the Nordic Exchange in Helsinki ,neutral
1209,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents ,neutral
1210,000 tonnes of pulp per year ,neutral
1211, Grain Trading and Other business operations ,neutral
1212,Its 168 asset management experts manage assets worth over EUR 35 billion ,neutral
1213,The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations ,neutral
1214,2009,neutral
1215, at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com ,neutral
1216, according to Korea-based ATLAS Research Group ,neutral
1217,Renesas Mobile Europe Ltd has approximately 470 employees in Oulu ,neutral
1218, tel. +358 9 591 8342 ,neutral
1219,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result ,neutral
1220,The contract is for next year ,neutral
1221, as well as rental and sale of modular space ,neutral
1222, will start on the exchange in Helsinki tomorrow ,neutral
1223,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process ,neutral
1224, the paper added ,neutral
1225, Start ski waxes and now also Peltonen cross-country skis ,neutral
1226, however ,neutral
1227, the market cap segments will be updated according to the average price in May 2007 ,neutral
1228,Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares ,neutral
1229, UBS and CBA ,neutral
1230,Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor ,neutral
1231, please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-ï¿½323-ï¿½6201 USA ,neutral
1232,218,neutral
1233, and surface water drainage systems ,neutral
1234,678.1,neutral
1235, also Proline Plus is CE-IVD marked and comes with a 3-year warranty ,neutral
1236,Registration is required ,neutral
1237,An EU law on the issue may be introduced around 2010 ,neutral
1238,The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live ,neutral
1239, said : `` The chambers are pressurized ,neutral
1240, it will need a partner for sawmill operations ,neutral
1241, whereby information can be read and saved remotely ,neutral
1242,`` We are selling an information systems development business to the Finns ,neutral
1243, that makes flexible packaging ,neutral
1244, it said ,neutral
1245, employees and other investors ,neutral
1246,The total value of the contract is some EUR 8 million ,neutral
1247,The total investment of the project will be approximately EUR 36m ,neutral
1248, beef consumption totaled 99mn kilos in Finland in 2007 ,neutral
1249,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan ,neutral
1250,000 persons ,neutral
1251, Bao Yiliang and Karczewicz Marta ,neutral
1252, 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx ,neutral
1253,Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology ,neutral
1254, China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region ,neutral
1255, Sweden and Turkey ,neutral
1256,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 ,neutral
1257,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas ,neutral
1258, was announced in October ,neutral
1259,The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 ,neutral
1260, SVP of Marketing & Product Development at GyPSii said : ,neutral
1261,The company will propose a dividend of EUR0 .12 per share for 2008 ,neutral
1262, in exchange for a stake in the merged RosTelecom ,neutral
1263,The enterprise value of Maritim Food AS has been determined as approximately EUR15m ,neutral
1264, 20 pct of which payable in Aspo shares ,neutral
1265,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 ,neutral
1266, as well as boots and sandals ,neutral
1267, will be built in 4 or 5 stages ,neutral
1268,000 MW ,neutral
1269,Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons ,neutral
1270,500 tons of liquid and solid aluminum waste per year ,neutral
1271,The company will release its 2010 results on 11 February 2011 ,neutral
1272, a broadband solutions company acquired by Teleste in the spring of 2007 ,neutral
1273,It is expected to be completed by the end of 2007 ,neutral
1274,No service pricing details were disclosed ,neutral
1275, YIT will hold a Capital Markets Day for investors and analysts in London ,neutral
1276, will be appointed managing director of Oriola in addition to his current responsibilities ,neutral
1277,755 shares as per today ,neutral
1278,The parties have agreed not to disclose the transaction value ,neutral
1279, and adult day care ,neutral
1280,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services ,neutral
1281,From Merisatama to the far corners of the world Asfaltti Osakeyhti+ï¿½ Lemmink+ï¿½inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor ,neutral
1282, Saha Pathana Inter-Holding Plc. ,neutral
1283,Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman ,neutral
1284,000 sq m of logistics premises and the gatehouse building in November 2008 ,neutral
1285, Poland and Romania by the end of the first quarter of 2009 ,neutral
1286, effective 1 September ,neutral
1287,The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 ,neutral
1288, manufacture and marketing of standard products for production automation ,neutral
1289,More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries ,neutral
1290,Investments are not disclosed ,neutral
1291, Kemira Specialty and Kemira Coatings ,neutral
1292, mobile +358 400 817198 e-mail eila ,neutral
1293,2007,neutral
1294, such as hedging trades and risk management and reporting ,neutral
1295, to other UPM mills ,neutral
1296, the company added ,neutral
1297, designed to be able to pass through the narrow passages in the Panama Canal 's locks ,neutral
1298,The ECB can mainly target inflation ,neutral
1299,The value of the deal was not disclosed ,neutral
1300,000 subscribers and had a market share of approximately 27 % as of May 2007 ,neutral
1301,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them ,neutral
1302,The final outcome of the rights offering is to be reported around 23 October 2009 ,neutral
1303, company president and CEO Eero Mertano recently told BNamericas ,neutral
1304,No financial or pricing details were disclosed ,neutral
1305,This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights ,neutral
1306, the company said ,neutral
1307, and Okmetic 's share of the investments will be worth around 2.7 million ,neutral
1308,The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum ,neutral
1309,The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting ,neutral
1310,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . ',neutral
1311, the statement says ,neutral
1312, surface-treatment and installation of the steel structures ,neutral
1313, OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 ,neutral
1314, which represents 4.14 % of the shares and voting rights ,neutral
1315, and about half of machines are exported ,neutral
1316,ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj ,neutral
1317,The profit after taxes was EUR 57.7 11.1 million ,neutral
1318, Estonia and India ,neutral
1319, as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland ,neutral
1320,No planned closing date was provided ,neutral
1321, approvals of their decision-making bodies and approval by the Finnish Competition Authority ,neutral
1322,Capital base and capital adequacy measurement is based on approaches under Basel II ,neutral
1323,All depends on financing ,neutral
1324,Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million ,neutral
1325,The value of the order is EUR 2.5 mn ,neutral
1326, the company said ,neutral
1327, Healthcare & Welfare since August 2007 ,neutral
1328,The EA Reng group posted sales of approximately 84 million kroons for 2007 ,neutral
1329, a subsidiary established in the U.S. last year ,neutral
1330,Rental of building equipment accounted for 88 percent of the operating income ,neutral
1331,The order is included in Metso 's fourth quarter 2007 order backlog ,neutral
1332,Dragonfly Love is another video shot from start to finish using the Nokia N8 ,neutral
1333, the hotel will operate under the brand Novotel ,neutral
1334, and SRV Group ,neutral
1335,The company says the measures are no longer needed ,neutral
1336, and Scan-Tukka OY ,neutral
1337,829,neutral
1338,The order was valued at USD12 .2 m,neutral
1339, will be purchased from the City of Forssa ,neutral
1340,The EUR17m contract includes both design and construction works ,neutral
1341, a government-owned investment group ,neutral
1342, 1000 and 1200 -ï¿½l volume capacities ,neutral
1343, especially diagnostic tests for cancer ,neutral
1344, Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 ,neutral
1345,The value of the contracts is about EUR 3.3 mn ,neutral
1346, data traffic and any kind of content services in both mobile and fixed networks ,neutral
1347, operating and transferring as well as optimising the Indosat 3G network ,neutral
1348, equaling 0.11 % of the company 's share capital and voting rights ,neutral
1349, Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital ,neutral
1350,000 market value ,neutral
1351,Delivery is expected to take place later this month ,neutral
1352,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 ,neutral
1353,The value of the orders is about EUR 70mn ,neutral
1354,Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform ,neutral
1355,400 tonnes of folding boxboard per day ,neutral
1356, Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share ,neutral
1357, '' wrote Trend Micro 's Rik Ferguson on Monday ,neutral
1358,The project also implies an underground parking lot for 56 vehicles ,neutral
1359,100 employees were transferred to Renesas Electronics Corporation ,neutral
1360,Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations ,neutral
1361, the band and the seal . ',neutral
1362, how much energy various products contain and what is the nutritional content of all purchases ,neutral
1363,It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 ,neutral
1364,New Novator products are supposed to be exported ,neutral
1365,350 people ,neutral
1366,`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand ,neutral
1367, 5 year fixed rate deal in Euros ,neutral
1368,- Counter your competitor 's strengths and target their weaknesses ,neutral
1369,BasWare Order Matching automatically matches purchase invoices with approved purchase orders ,neutral
1370, the company 's loans amounted to EUR 10.113 mn ,neutral
1371, the company estimated ,neutral
1372,000 tonnes and most of its production is sold to domestic customers ,neutral
1373, John Jiang has worked in several general manager or senior business consultant positions for international companies in China ,neutral
1374,Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit ,neutral
1375, the company expected its 2008 financial performance to remain at the same level as in 2008 ,neutral
1376, locations and subsidiaries ,neutral
1377,000 stock options were issued in the 2003 stock option scheme ,neutral
1378, Finland and is scheduled for shipments during the first quarter of 2009 ,neutral
1379, four-door Altima ,neutral
1380, Global Research & Data Services is going to publish several market analyses about the cement markets in Asia ,neutral
1381, Pellonpaja Oy and Mansner Oy ,neutral
1382,Raute is listed on the Nordic exchange in Helsinki ,neutral
1383, as well as distribution channel data ,neutral
1384,110,neutral
1385, an executive at Coscom told Interfax ,neutral
1386, and Apetit Fish ,neutral
1387,He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 ,neutral
1388,Decisions are to be made as quickly as possible ,neutral
1389,Earnings per share EPS amounted to EUR0 .01 ,neutral
1390,023 own shares ,neutral
1391,The sales price was not disclosed ,neutral
1392, Manty has worked since 1996 ,neutral
1393,Work on the assignment has already started and is due for completion in spring 2011 ,neutral
1394,The turbines are expected to be launched by the end of 2012 ,neutral
1395, Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights ,neutral
1396, Kuula says ,neutral
1397,The idea of saving electricity in data transfer is still a new one ,neutral
1398, the transmission power level can be decreased when the interference noise is above a predefined value ,neutral
1399,The contract value amounts to EUR 2.4 million ,neutral
1400, and operating profit was EUR 3.9 million ,neutral
1401,The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people ,neutral
1402,The shares represented 4.998 % of total share capital and 2.14 % of total voting rights ,neutral
1403, and people should get paid for their time . ',neutral
1404, will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 ,neutral
1405, the Danish bank said ,neutral
1406,The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 ,neutral
1407,Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary ,neutral
1408,Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . ',neutral
1409, central Sweden ,neutral
1410,Marathon estimates the value of its remaining stake in Protalix at $ 27 million ,neutral
1411, and each of them has a dedicated team and funds ,neutral
1412,- Cash flow from operating activities before investments was EUR 0.8 -1.2 million ,neutral
1413,Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management ,neutral
1414, the company said ,neutral
1415,Technopolis has approximately 130 customer companies in Jyvaskyla ,neutral
1416, as well as catering and households ,neutral
1417,Okmetic revised its 2010 financial outlook based on its order book ,neutral
1418, Estonia and Poland ,neutral
1419, southern Finland ,neutral
1420,The new chain has 700 discount stores and 250 supermarkets ,neutral
1421,000 tons of light coated paper ,neutral
1422,Bluewin Security is available as a monthly subscription ,neutral
1423, Ruukki Construction ,neutral
1424,The business section also includes Ahlstrom 's sustainability report ,neutral
1425, the contract includes modification of the effluent treatment plant at Follum ,neutral
1426,The deal means that ten persons in three countries will transfer to Tieto ,neutral
1427, 1 cent for research and development and 1 cent for strategic investments ,neutral
1428, Etteplan Operations ,neutral
1429,He wore a black beanie-type cap and a black jacket ,neutral
1430, Espoo and Vantaa ,neutral
1431,Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore ,neutral
1432,The divested stake represented about 2.7 m shares in Okmetic 's capital ,neutral
1433, ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation ,neutral
1434,Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index ,neutral
1435,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry ,neutral
1436, which partly derives from the deal in which the company was merged into a stock market shell ,neutral
1437,A huge issue for us is the button placement ,neutral
1438,The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds ,neutral
1439, a restaurant and a multifunctional ice arena ,neutral
1440, a major Brazilian conglomerate ,neutral
1441,2010,neutral
1442,The credit covers approximately 70 % of the ship 's price ,neutral
1443, basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters ,neutral
1444,The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 ,neutral
1445,They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum ,neutral
1446,400,neutral
1447,Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.39,neutral
1448,For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register ,neutral
1449,The net sales of the Power Plants business were EUR 710.3 million in 2005 ,neutral
1450, BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite ,neutral
1451,The beers differ slightly from mainstream beers ,neutral
1452,2009,neutral
1453, Latvia and Lithuania ,neutral
1454,The EUR 0.7 million non-recurring expenses have been recorded for the third quarter ,neutral
1455, the acquiring company said ,neutral
1456, and systems incorporating them are used in many different applications ,neutral
1457, life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital ,neutral
1458,This corresponds to 6.81 percent of Okmetic 's share capital and voting rights ,neutral
1459, where it already operates a hook manufacturing and distribution unit ,neutral
1460,An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 ,neutral
1461,It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland ,neutral
1462,EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes ,neutral
1463,The first group of customers to be trained will be paint-shop owners and their assistants ,neutral
1464,Currency conversions are based on exchange rates at the time of the deal ,neutral
1465,The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 ,neutral
1466, a ski-equipment company ,neutral
1467, Profile Vehicles Oy and Voimatel Oy ,neutral
1468, the emphasis of Kyro 's strategy has been on Glaston 's growth ,neutral
1469, Finland ,neutral
1470, spoke to them and took a letter from them ,neutral
1471,The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 ,neutral
1472,QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress ,neutral
1473,2007,neutral
1474,The company expects meat purchases to remain at about 8mn kilos in 2011 ,neutral
1475,The webcast may be followed online on the company website at www.ruukki.com/investors ,neutral
1476, 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B ,neutral
1477, a program which enables mobile software developers to create applications for use across Samsung mobile devices ,neutral
1478,ND = Not disclosed ,neutral
1479,000 readers ,neutral
1480, Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real ,neutral
1481,Catalysts segment includes refinery catalysts and polyolefin catalysts product categories ,neutral
1482, vendors - and their customers - are focused on meeting the deadline ,neutral
1483,The size of a cider bottle will remain unchanged ,neutral
1484,Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report ,neutral
1485, 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place ,neutral
1486,8 million ,neutral
1487, without disclosing financial details ,neutral
1488, air and sea ,neutral
1489,The closing of such transaction took place today ,neutral
1490, where it already operates a hook manufacturing and distribution unit ,neutral
1491,Construction is expected to be completed in the summer of 2011 ,neutral
1492,Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives ,neutral
1493, with about 40 million returns filed in April ,neutral
1494, or to subscribe to the newspaper ,neutral
1495,000 euro $ 1.0 mln in 2005 ,neutral
1496,The acquisition price was not disclosed ,neutral
1497, Credit Agricole SA ( EPA : ACA ) ( CAGR ,neutral
1498, net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece ,neutral
1499,Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. ,neutral
1500,Panostaja did not disclose the purchase price ,neutral
1501, the company will exit the contract manufacturing service segment ,neutral
1502,The corrected chapter is in its entirety below ,neutral
1503, the Baltic countries and Russia ,neutral
1504,000 people in 54 manufacturing units and several sales offices in 33 countries ,neutral
1505, traffic and industry ,neutral
1506, representing 0.008 % of share capital and voting rights ,neutral
1507,Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 ,neutral
1508,The original contract was signed last summer ,neutral
1509,All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 ,neutral
1510, with network servers that may assist the hosting mobile terminal ,neutral
1511,Most of the dividend will go to the Grimaldi family ,neutral
1512,000 units ,neutral
1513, customer responsibilities will become mainly regional ,neutral
1514, Bluebird and Sterling ,neutral
1515,The value of the order is around EUR 100 million ,neutral
1516, the new shares will constitute 10 percent of the firm 's capital ,neutral
1517, limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making ,neutral
1518,000 square metres of office premises by 2016 ,neutral
1519,Other details were not provided ,neutral
1520,The value of the multi-year agreement is over EUR 2mn a year ,neutral
1521, North America and Asia ,neutral
1522,Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board ,neutral
1523, Benefon will launch its Twig device on 20 September 2006 ,neutral
1524,000 TEUs and 7.5 mln tons of general cargo ,neutral
1525,000 vehicles ,neutral
1526, the five largest brands control 90 % of the beer market ,neutral
1527, and 1 % in the US ,neutral
1528, at least the first side casing member being pivotable about a rotation axis ,neutral
1529,Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 ,neutral
1530,The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq ,neutral
1531,EUR 152.4 mn of this was net interest income ,neutral
1532,Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas ,neutral
1533, the Auditors ' Report and the Corporate Governance Statement ,neutral
1534, '' EBRD informed ,neutral
1535,2007,neutral
1536, opinions or distributions ,neutral
1537, near Bangalore ,neutral
1538, the company is considering the start of production in Russia ,neutral
1539,The purchase price was not disclosed ,neutral
1540,Why not give your bedroom a cool makeover for summer ,neutral
1541,The products have a low salt and fat content ,neutral
1542,2009,neutral
1543,2007,neutral
1544, control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls ,neutral
1545, for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders ,neutral
1546, the company said ,neutral
1547, cameras and displays ; as well as devices and robot units for the testing of mobile devices ,neutral
1548,The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website ,neutral
1549, which represent 3.582 % of Tekla -ï¿½ s shares and voting rights ,neutral
1550, net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece ,neutral
1551, developed by the U.S. Green Building Council ,neutral
1552, and asset tracking ,neutral
1553,The total value of the deliveries is some EUR65m ,neutral
1554, Fortitude Valley ,neutral
1555,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan ,neutral
1556, on the other ,neutral
1557, as well as catering and households ,neutral
1558,Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 ,neutral
1559, followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share ,neutral
1560,Financing of the project will come mainly from China ,neutral
1561, renovation work of residential and non-residential building as well as premises for industrial and logistical use ,neutral
1562,The new B shares carry the right to dividend and other shareholder rights with effect from today ,neutral
1563, sharing seventh place on three-under 210 after shooting 71 ,neutral
1564,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program ,neutral
1565, manufactures and markets composite profiles and tubes for industrial applications ,neutral
1566, 5320XM ,neutral
1567,The business development initiatives in North America are headed by Lynn Shanahan ,neutral
1568,000 people ,neutral
1569,000 tonnes of asphalt mix will be used in the contract ,neutral
1570, as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors ,neutral
1571, invested in commercial properties in the Helsinki metropolitan area ,neutral
1572,The original patent was filed in Finland under application No. ,neutral
1573,The value of the deal has not been disclosed ,neutral
1574,Castecka said the town hall would hold talks with other investors interested in the zone ,neutral
1575,The contract includes heating plant equipment and associated installation work ,neutral
1576,The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release ,neutral
1577,Russia 's Video International Group holds a controlling stake in Russian Media Ventures ,neutral
1578,500 of its B series shares to key staff members for EUR2 .9 per share ,neutral
1579,The transaction is expected to be finalized by Dec 2009 ,neutral
1580,The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District ,neutral
1581,167 m2 ,neutral
1582, SokoPro project bank and courier services ,neutral
1583,Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply ,neutral
1584, with the total cost of the project estimated at 140 million euros ,neutral
1585,The shops are located in the capital region and the Paijat-Hame region ,neutral
1586,He will report to CapMan Plc 's CEO Heikki Westerlund ,neutral
1587,The value of the contract is in total USD12m ,neutral
1588, die finale Version zu beeinflussen ,neutral
1589,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws ,neutral
1590, the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share ,neutral
1591,The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally ,neutral
1592, called Moorestown ,neutral
1593, is part of the bank 's domestic bond program ,neutral
1594, as well as rents and sells modular space ,neutral
1595, central and Eastern European countries ,neutral
1596,UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' ,neutral
1597,Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec ,neutral
1598,The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees ,neutral
1599, and FttH ,neutral
1600,Finnish food industry company L+ï¿½nnen Tehtaat is planning changes to its fish product business ,neutral
1601,The identity of the buyer is not yet known ,neutral
1602,The company said that the results of the third quarter do not include non-recurring items ,neutral
1603,Customers include hotels and restaurants as well as wholesalers and some retailers ,neutral
1604, covering shopping and retail from the sidewalks up ,neutral
1605,The solution will be installed in the USA to support the North American operations of the customer ,neutral
1606,The project is expected to be completed in 2009 ,neutral
1607,The value of the order is about EUR 30mn ,neutral
1608, the group said in a press release ,neutral
1609, the company said ,neutral
1610,000 tonnes a day ,neutral
1611,Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT ,neutral
1612,Aspo 's Group structure and business operations are continually developed without any predefined schedules ,neutral
1613, and meat products ,neutral
1614,`` There is no room to modify the share component as we have already indicated . ',neutral
1615, develops interconnection solutions for the electronics industry ,neutral
1616,The order was worth EUR 8mn ,neutral
1617, communication and network products ,neutral
1618,NWC ANALYSIS ,neutral
1619,Metso 's delivery will include a complete coated board line with related air systems and two winders ,neutral
1620, shoe and furniture businesses ,neutral
1621,The trade is in accordance with the agreement announced on 26 March 2008 ,neutral
1622,Two other sites will be included later on ,neutral
1623,The combined value of the orders is almost EUR 3mn ,neutral
1624,000 Sampo plc shares ,neutral
1625,The sale price was not disclosed ,neutral
1626, maintenance and support ,neutral
1627, manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market ,neutral
1628, and they are not estimated to have an impact on the number of employees ,neutral
1629, is part of the state program for the formation of technoparks for hi-tech sectors in Russia ,neutral
1630,Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis ,neutral
1631, and at the time of investment it is fully leased to several tenants ,neutral
1632, 2009 -ï¿½ Copyright of Globes Publisher Itonut 1983 Ltd. 200,neutral
1633,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process ,neutral
1634, Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agree,neutral
1635, and operating profit at EUR 6.4 mn ,neutral
1636,2008,neutral
1637, has developed a panel press ,neutral
